Специальность;Зарплата в рублях;Ссылка
Программист;от 15 000 ;https://www.avito.ru/evpatoriya/vakansii/programmist_2240488701
Программист проекта;5 000 — 10 000  в неделю;https://www.avito.ru/samara/vakansii/programmist_proekta_2247283963
Программист 1С;Зарплата не указана;https://www.avito.ru/murom/vakansii/programmist_1s_1464676058
Программист;до 140 000 ;https://www.avito.ru/sankt-peterburg/vakansii/programmist_2252925555
Программист assembler, C, Reverse Engineer;100 000 — 200 000 ;https://www.avito.ru/moskva/vakansii/programmist_assembler_c_reverse_engineer_2247100759
Программист 1С;80 000 — 120 000 ;https://www.avito.ru/kirovskaya_oblast_kirov/vakansii/programmist_1s_2221311343
Контент-менеджер (руководитель проекта);от 70 000 ;https://www.avito.ru/ekaterinburg/vakansii/kontent-menedzher_rukovoditel_proekta_2248576658
Программист-технолог;от 50 000 ;https://www.avito.ru/ulyanovsk/vakansii/programmist-tehnolog_2235332018
Программист-технолог на вязальное производство;от 30 000 ;https://www.avito.ru/kirovskaya_oblast_kirov/vakansii/programmist-tehnolog_na_vyazalnoe_proizvodstvo_2213218520
Инженер-программист;Зарплата не указана;https://www.avito.ru/belebey/vakansii/inzhener-programmist_2260662177
Инженер-программист;от 40 000 ;https://www.avito.ru/saransk/vakansii/inzhener-programmist_2248448450
Нужен программист;Зарплата не указана;https://www.avito.ru/moskva/vakansii/nuzhen_programmist_2089293729
Программист 1 с;Зарплата не указана;https://www.avito.ru/voronezh/vakansii/programmist_1_s_2017182314
Програмист 1С (унф);50 000 ;https://www.avito.ru/ivanovo/vakansii/programist_1s_unf_2147404846
Программист;от 30 000 ;https://www.avito.ru/omsk/vakansii/programmist_2246092109
Программист 1С;до 250 000 ;https://www.avito.ru/domodedovo/vakansii/programmist_1s_2243903949
Программист, Программист микроконтроллеров;20 000 — 100 000 ;https://www.avito.ru/novosibirsk/vakansii/programmist_programmist_mikrokontrollerov_2293255372
Программист 1С;от 40 000 ;https://www.avito.ru/astrahan/vakansii/programmist_1s_2079647460
Программист 1с;36 000 ;https://www.avito.ru/cheboksary/vakansii/programmist_1s_2251057378
Программист станка Чпу;50 000 ;https://www.avito.ru/tulun/vakansii/programmist_stanka_chpu_2103619871
Программист;от 30 000 ;https://www.avito.ru/gus-hrustalnyy/vakansii/programmist_2261103395
Программист;100 000 ;https://www.avito.ru/staryy_oskol/vakansii/programmist_2253933196
Программист 1С (стажёр, ученик);10 000 — 30 000 ;https://www.avito.ru/irkutsk/vakansii/programmist_1s_stazher_uchenik_372778787
Инженер-программист;от 49 450 ;https://www.avito.ru/magnitogorsk/vakansii/inzhener-programmist_1939717823
Программист 1с;1 000 — 1 200  в час;https://www.avito.ru/sankt-peterburg/vakansii/programmist_1s_2265400809
Программист;от 100 000 ;https://www.avito.ru/vologda/vakansii/programmist_2263728299
Программист на Ардуино(Arduino);Зарплата не указана;https://www.avito.ru/ekaterinburg/vakansii/programmist_na_arduinoarduino_2262280595
