Специальность;Зарплата в рублях;Ссылка
Программист 1С;30 000 — 80 000 ;https://www.avito.ru/magnitogorsk/vakansii/programmist_1s_2267213043
Требуется программист с чпу;70 000 ;https://www.avito.ru/gryazovets/vakansii/trebuetsya_programmist_s_chpu_2253751085
Инженер-программист;от 60 000 ;https://www.avito.ru/sankt-peterburg_krasnoye_selo/vakansii/inzhener-programmist_2214609833
Инженер программист;до 20 000 ;https://www.avito.ru/sankt-peterburg/vakansii/inzhener_programmist_2269488270
Техник-программист;Зарплата не указана;https://www.avito.ru/tuapse/vakansii/tehnik-programmist_2271729601
Инженер-программист;30 000 ;https://www.avito.ru/omsk/vakansii/inzhener-programmist_2093784522
Инженер-программист;33 000 ;https://www.avito.ru/krasnodar/vakansii/inzhener-programmist_2269866515
Web-программист / PHP-программист;35 000 — 80 000 ;https://www.avito.ru/irkutsk/vakansii/web-programmist_php-programmist_2267772271
Техник-программист;40 000 ;https://www.avito.ru/slavyansk-na-kubani/vakansii/tehnik-programmist_2107173493
Инженер-программист;25 000 — 30 000 ;https://www.avito.ru/neftekamsk/vakansii/inzhener-programmist_2218968404
Web-программист, Web-разработчик;60 000 ;https://www.avito.ru/smolensk/vakansii/web-programmist_web-razrabotchik_1263788709
Технолог-программист станков с чпу;Зарплата не указана;https://www.avito.ru/bashkortostan_oktyabrskiy/vakansii/tehnolog-programmist_stankov_s_chpu_1923015973
Помощник программиста;от 15 000 ;https://www.avito.ru/votkinsk/vakansii/pomoschnik_programmista_1502595189
1С программист;50 000 — 100 000 ;https://www.avito.ru/hadyzhensk/vakansii/1s_programmist_2259489994
Помощник WEB программиста;30 000 — 100 000 ;https://www.avito.ru/vologda/vakansii/pomoschnik_web_programmista_2244531110
Нужен программист php+js;20 000 — 80 000 ;https://www.avito.ru/gryazi/vakansii/nuzhen_programmist_phpjs_2269257744
Инженер-программист асу (плк);от 35 000 ;https://www.avito.ru/chelyabinsk/vakansii/inzhener-programmist_asu_plk_2246476373
Техник-программист;от 28 800 ;https://www.avito.ru/borisoglebsk/vakansii/tehnik-programmist_2185096421
Инженер-технолог программист чпу;Зарплата не указана;https://www.avito.ru/zlatoust/vakansii/inzhener-tehnolog_programmist_chpu_1929991644
1С программист;50 000 — 100 000 ;https://www.avito.ru/apsheronsk/vakansii/1s_programmist_1082751736
Ведущий программист 1с;от 50 000 ;https://www.avito.ru/komsomolsk-na-amure/vakansii/veduschiy_programmist_1s_2241070513
Требуется программист 1С;Зарплата не указана;https://www.avito.ru/meleuz/vakansii/trebuetsya_programmist_1s_2251965228
Инженер-программист Кирпичного завода;40 000 ;https://www.avito.ru/prohladnyy/vakansii/inzhener-programmist_kirpichnogo_zavoda_1867752612
Ищем веб-программиста(можно удаленно);30 000 ;https://www.avito.ru/sankt-peterburg_peterhof/vakansii/ischem_veb-programmistamozhno_udalenno_1839076039
Инженер-программист;от 35 000 ;https://www.avito.ru/yoshkar-ola/vakansii/inzhener-programmist_2253163043
PHP-программист (веб-разработчик);50 000 ;https://www.avito.ru/sankt-peterburg_peterhof/vakansii/php-programmist_veb-razrabotchik_1850346528
Программист assembler, C, Reverse Engineer;100 000 — 200 000 ;https://www.avito.ru/moskva/vakansii/programmist_assembler_c_reverse_engineer_2247100759
Контент-менеджер (руководитель проекта);от 70 000 ;https://www.avito.ru/ekaterinburg/vakansii/kontent-menedzher_rukovoditel_proekta_2248576658
Программист 1С;80 000 — 120 000 ;https://www.avito.ru/kirovskaya_oblast_kirov/vakansii/programmist_1s_2221311343
Техник-программист;20 000 — 22 000 ;https://www.avito.ru/krasnodar/vakansii/tehnik-programmist_2268612844
Инженер-программист станков с чпу;от 35 000 ;https://www.avito.ru/orenburg/vakansii/inzhener-programmist_stankov_s_chpu_2252329364
Инженер-системный программист;10 000 — 20 000 ;https://www.avito.ru/tver/vakansii/inzhener-sistemnyy_programmist_2242330987
Инженер-программист;от 40 000 ;https://www.avito.ru/saransk/vakansii/inzhener-programmist_2248448450
Оператор - программист станка с чпу (пробивной ста;от 62 000 ;https://www.avito.ru/sankt-peterburg/vakansii/operator_-_programmist_stanka_s_chpu_probivnoy_sta_2246441653
Инженер-программист асу (плк);от 35 000 ;https://www.avito.ru/ufa/vakansii/inzhener-programmist_asu_plk_2245927371
Web программист;45 — 65 ;https://www.avito.ru/moskva/vakansii/web_programmist_2256292566
Программист-консультант 1С;Зарплата не указана;https://www.avito.ru/izhevsk/vakansii/programmist-konsultant_1s_2243260541
Ищем WEB-программиста уровня Middle;90 000 — 120 000 ;https://www.avito.ru/moskva/vakansii/ischem_web-programmista_urovnya_middle_2206557533
1С программист (стажер);от 16 000 ;https://www.avito.ru/votkinsk/vakansii/1s_programmist_stazher_2261814561
Веб-программист Middle / Senior/ PHP (Laravel);200 000 — 250 000 ;https://www.avito.ru/moskva/vakansii/veb-programmist_middle_senior_php_laravel_2265557014
Инженер-программист асу (плк);от 35 000 ;https://www.avito.ru/magnitogorsk/vakansii/inzhener-programmist_asu_plk_2246650846
Оператор-программист станков с чпу;Зарплата не указана;https://www.avito.ru/taganrog/vakansii/operator-programmist_stankov_s_chpu_755573886
Системный Программист С++/С;30 000 — 60 000 ;https://www.avito.ru/omsk/vakansii/sistemnyy_programmist_ss_2224713641
Системный программист;Зарплата не указана;https://www.avito.ru/belorechensk/vakansii/sistemnyy_programmist_2273612923
Web-разработчик / PHP программист (Junior);30 000 — 50 000 ;https://www.avito.ru/kostroma/vakansii/web-razrabotchik_php_programmist_junior_2254020890
Требуется программист знание опыт работы с API клю;1 000 — 5 000  сдельно;https://www.avito.ru/moskva/vakansii/trebuetsya_programmist_znanie_opyt_raboty_s_api_klyu_2242885795
Инженер-программист 1С;от 90 000 ;https://www.avito.ru/izhevsk/vakansii/inzhener-programmist_1s_2257314978
Веб-разработчик, веб-программист;25 000 — 85 000 ;https://www.avito.ru/orenburg/vakansii/veb-razrabotchik_veb-programmist_553481329
Инженер-программист;от 30 000 ;https://www.avito.ru/anapa/vakansii/inzhener-programmist_2242502212
Инженер-программист станков с чпу;от 40 000 ;https://www.avito.ru/yakshur-bodya/vakansii/inzhener-programmist_stankov_s_chpu_2252846321
Мастер связи, программист;30 000 ;https://www.avito.ru/hanty-mansiysk/vakansii/master_svyazi_programmist_2200573649
Инженер-программист асу тп / Программист PLC;100 000 — 150 000 ;https://www.avito.ru/sankt-peterburg/vakansii/inzhener-programmist_asu_tp_programmist_plc_2240232912
Мобильный разработчик, программист (iOS/Android);30 000 ;https://www.avito.ru/borisoglebsk/vakansii/mobilnyy_razrabotchik_programmist_iosandroid_2102644124
Требуется Web программист, создание сайта, битрикс;от 50 000  сдельно;https://www.avito.ru/krasnodar/vakansii/trebuetsya_web_programmist_sozdanie_sayta_bitriks_2262881624
Требуется Программист 1С Бухгалтерия;50 000 ;https://www.avito.ru/nizhniy_novgorod/vakansii/trebuetsya_programmist_1s_buhgalteriya_2254785842
Редактор сайтов/программист;15 000 — 20 000 ;https://www.avito.ru/kazan/vakansii/redaktor_saytovprogrammist_2271699849
Web разработчик \ программист Node js;от 110 000 ;https://www.avito.ru/krasnodar/vakansii/web_razrabotchik_programmist_node_js_1507386133
Преподователь программист;20 000 — 30 000 ;https://www.avito.ru/chita/vakansii/prepodovatel_programmist_2242094950
Оператор станка с пу (программист-технолог);от 50 000 ;https://www.avito.ru/novocheboksarsk/vakansii/operator_stanka_s_pu_programmist-tehnolog_2235487998
Ведущий инженер-программист;от 51 800 ;https://www.avito.ru/taganrog/vakansii/veduschiy_inzhener-programmist_2237553343
Инженер-системный программист;до 65 000 ;https://www.avito.ru/podolsk/vakansii/inzhener-sistemnyy_programmist_2237952708
Инженер-системный программист;до 65 000 ;https://www.avito.ru/domodedovo/vakansii/inzhener-sistemnyy_programmist_2238395036
Преподаватель программист;20 000 ;https://www.avito.ru/bukachacha/vakansii/prepodavatel_programmist_2186252309
Ведущий инженер-программист;от 60 000 ;https://www.avito.ru/borovichi/vakansii/veduschiy_inzhener-programmist_2228246708
1С Программист;от 25 000 ;https://www.avito.ru/votkinsk/vakansii/1s_programmist_2261822742
Системный администратор, программист;25 000 — 40 000 ;https://www.avito.ru/kuznetsk/vakansii/sistemnyy_administrator_programmist_2076132725
Системный администратор, программист;25 000 — 28 000 ;https://www.avito.ru/omsk/vakansii/sistemnyy_administrator_programmist_2273012165
Системный администратор / программист;Зарплата не указана;https://www.avito.ru/glazov/vakansii/sistemnyy_administrator_programmist_726012249
Требуется программист PHP, mysql, Git;80 000 — 140 000 ;https://www.avito.ru/simferopol/vakansii/trebuetsya_programmist_php_mysql_git_2262328919
Токарь чпу оператор - программист;50 000 — 80 000 ;https://www.avito.ru/serpuhov/vakansii/tokar_chpu_operator_-_programmist_2105716090
Junior 1C Программист;от 18 000 ;https://www.avito.ru/votkinsk/vakansii/junior_1c_programmist_1224336061
Дизайнер, системный администратор, програмист, опе;15 000 — 20 000 ;https://www.avito.ru/yurga/vakansii/dizayner_sistemnyy_administrator_programist_ope_2262911366
Yii2/Laravel программист в команду;60 000 ;https://www.avito.ru/sankt-peterburg/vakansii/yii2laravel_programmist_v_komandu_1923571024
Помощник компьютерного мастера;от 63 000 ;https://www.avito.ru/sankt-peterburg/vakansii/pomoschnik_kompyuternogo_mastera_2238324954
Специалист по ремонту компьютерной техники;от 46 000 ;https://www.avito.ru/kaluga/vakansii/spetsialist_po_remontu_kompyuternoy_tehniki_2206272626
Компьютерный мастер;от 67 000 ;https://www.avito.ru/krasnodar/vakansii/kompyuternyy_master_2206814140
Помощник компьютерного мастера;от 75 000 ;https://www.avito.ru/moskva/vakansii/pomoschnik_kompyuternogo_mastera_2206031061
Специалист по ремонту компьютерной техники;от 43 000 ;https://www.avito.ru/tula/vakansii/spetsialist_po_remontu_kompyuternoy_tehniki_2206233780
Компьютерный мастер;от 67 000 ;https://www.avito.ru/sevastopol/vakansii/kompyuternyy_master_2206523046
Компьютерный мастер;от 67 000 ;https://www.avito.ru/tolyatti/vakansii/kompyuternyy_master_2206190015
Программист 1С;80 000 — 120 000 ;https://www.avito.ru/kirovskaya_oblast_kirov/vakansii/programmist_1s_2221311343
Программист assembler, C, Reverse Engineer;100 000 — 200 000 ;https://www.avito.ru/moskva/vakansii/programmist_assembler_c_reverse_engineer_2247100759
Контент-менеджер (руководитель проекта);от 70 000 ;https://www.avito.ru/ekaterinburg/vakansii/kontent-menedzher_rukovoditel_proekta_2248576658
Компьютерный мастер;от 68 000 ;https://www.avito.ru/samara/vakansii/kompyuternyy_master_2206584769
Компьютерный мастер;от 63 000 ;https://www.avito.ru/belgorod/vakansii/kompyuternyy_master_2206866813
Контент-менеджер (руководитель проекта);от 70 000 ;https://www.avito.ru/ekaterinburg/vakansii/kontent-menedzher_rukovoditel_proekta_2248576658
Инженер-программист;от 40 000 ;https://www.avito.ru/saransk/vakansii/inzhener-programmist_2248448450
Компьютерный мастер;от 63 000 ;https://www.avito.ru/kemerovo/vakansii/kompyuternyy_master_2206493555
Компьютерный мастер;от 61 000 ;https://www.avito.ru/saratov/vakansii/kompyuternyy_master_2206405725
Преподаватель дополнительного образования;Зарплата не указана;https://www.avito.ru/severodvinsk/vakansii/prepodavatel_dopolnitelnogo_obrazovaniya_2264837457
Преподаватели;от 900 ;https://www.avito.ru/kopeysk/vakansii/prepodavateli_2207997353
Фармацевт;38 000 — 48 000 ;https://www.avito.ru/divnomorskoe/vakansii/farmatsevt_2230402772
Компьютерный мастер;от 60 000 ;https://www.avito.ru/ivanovo/vakansii/kompyuternyy_master_2249231450
Инженер-технолог по раскрою металла;от 35 000 ;https://www.avito.ru/kostroma/vakansii/inzhener-tehnolog_po_raskroyu_metalla_2253310431
Инженер-системный программист;до 65 000 ;https://www.avito.ru/podolsk/vakansii/inzhener-sistemnyy_programmist_2237952708
Web-разработчик / PHP программист (Junior);30 000 — 50 000 ;https://www.avito.ru/kostroma/vakansii/web-razrabotchik_php_programmist_junior_2254020890
Системный администратор / программист;Зарплата не указана;https://www.avito.ru/glazov/vakansii/sistemnyy_administrator_programmist_726012249
Требуются услуги 1С-программиста;50 000 ;https://www.avito.ru/ivanovo/vakansii/trebuyutsya_uslugi_1s-programmista_2099226511
Yii2/Laravel программист в команду;60 000 ;https://www.avito.ru/sankt-peterburg/vakansii/yii2laravel_programmist_v_komandu_1923571024
Создание и продвижение сайтов;40 000 — 60 000 ;https://www.avito.ru/krasnodar/vakansii/sozdanie_i_prodvizhenie_saytov_2266407199
Ведущий 1С программист;от 30 000 ;https://www.avito.ru/votkinsk/vakansii/veduschiy_1s_programmist_2261573587
Руководитель отдела разработки, программист 1С;100 000 — 150 000 ;https://www.avito.ru/kirovskaya_oblast_kirov/vakansii/rukovoditel_otdela_razrabotki_programmist_1s_2029066781
Помощник Администратора;от 50 000 ;https://www.avito.ru/kommunarka/vakansii/pomoschnik_administratora_2258995483
Консультант 1С;40 000 — 80 000 ;https://www.avito.ru/kommunarka/vakansii/konsultant_1s_2264592619
Помощник компьютерного мастера;от 47 000 ;https://www.avito.ru/voronezh/vakansii/pomoschnik_kompyuternogo_mastera_2206527009
Помощник компьютерного мастера;от 42 000 ;https://www.avito.ru/samara/vakansii/pomoschnik_kompyuternogo_mastera_2206529168
Фармацевт / Медицинский консультант;от 28 000 ;https://www.avito.ru/nogir/vakansii/farmatsevt_meditsinskiy_konsultant_2262355583
Фармацевт / Провизор;от 28 000 ;https://www.avito.ru/vladikavkaz/vakansii/farmatsevt_provizor_2262414798
Специалист по ремонту компьютерной техники;от 44 000 ;https://www.avito.ru/vladimir/vakansii/spetsialist_po_remontu_kompyuternoy_tehniki_2206296249
Помощник администратора;30 000 — 50 000 ;https://www.avito.ru/moskva/vakansii/pomoschnik_administratora_2248800289
Фармацевт / Провизор;от 40 000 ;https://www.avito.ru/pyatigorsk/vakansii/farmatsevt_provizor_2262762965
Фармацевт / Провизор;от 28 000 ;https://www.avito.ru/mozdok/vakansii/farmatsevt_provizor_2262717179
Помощник компьютерного мастера;от 42 000 ;https://www.avito.ru/ufa/vakansii/pomoschnik_kompyuternogo_mastera_2206380003
Технический эксперт;от 55 000 ;https://www.avito.ru/mineralnye_vody/vakansii/tehnicheskiy_ekspert_2247852621
Помощник компьютерного мастера;от 44 000 ;https://www.avito.ru/volgogradskaya_oblast_volzhskiy/vakansii/pomoschnik_kompyuternogo_mastera_2206389135
IT специалисты и переездом в Чехию;90 000 — 300 000 ;https://www.avito.ru/novosibirsk/vakansii/it_spetsialisty_i_pereezdom_v_chehiyu_2260941796
Помощник компьютерного мастера;от 26 000 ;https://www.avito.ru/tolyatti/vakansii/pomoschnik_kompyuternogo_mastera_2206569802
Фармацевт / Медицинский консультант;от 40 000 ;https://www.avito.ru/essentuki/vakansii/farmatsevt_meditsinskiy_konsultant_2262523782
Помощник компьютерного мастера;от 49 000 ;https://www.avito.ru/irkutsk/vakansii/pomoschnik_kompyuternogo_mastera_2206826117
Фармацевт / Медицинский консультант;от 28 000 ;https://www.avito.ru/hodz/vakansii/farmatsevt_meditsinskiy_konsultant_2261906990
Помощник компьютерного мастера;от 41 000 ;https://www.avito.ru/habarovsk/vakansii/pomoschnik_kompyuternogo_mastera_2206118716
Фармацевт / Медицинский консультант;от 33 000 ;https://www.avito.ru/krasnodar/vakansii/farmatsevt_meditsinskiy_konsultant_2262111026
Помощник компьютерного мастера;от 43 000 ;https://www.avito.ru/krasnodar/vakansii/pomoschnik_kompyuternogo_mastera_2206300684
Фармацевт / Медицинский консультант;от 33 000 ;https://www.avito.ru/proletarsk/vakansii/farmatsevt_meditsinskiy_konsultant_2262568443
Фармацевт / Медицинский консультант;от 28 000 ;https://www.avito.ru/starovelichkovskaya/vakansii/farmatsevt_meditsinskiy_konsultant_2262666462
Помощник компьютерного мастера;от 42 000 ;https://www.avito.ru/kazan/vakansii/pomoschnik_kompyuternogo_mastera_2206811612
Специалист по ремонту компьютерной техники;от 42 000 ;https://www.avito.ru/tambov/vakansii/spetsialist_po_remontu_kompyuternoy_tehniki_2206645270
Администратор сайта-контент менеджер;35 000 — 55 000 ;https://www.avito.ru/abakan/vakansii/administrator_sayta-kontent_menedzher_2271358582
Фармацевт / Медицинский консультант;от 40 000 ;https://www.avito.ru/kislovodsk/vakansii/farmatsevt_meditsinskiy_konsultant_2262335855
Помощник компьютерного мастера;от 41 000 ;https://www.avito.ru/kemerovo/vakansii/pomoschnik_kompyuternogo_mastera_2206258288
Требуется Бухгалтер;45 000 — 55 000 ;https://www.avito.ru/uhta/vakansii/trebuetsya_buhgalter_1918569677
IT специалисты и переездом в Чехию;90 000 — 300 000 ;https://www.avito.ru/novosibirsk/vakansii/it_spetsialisty_i_pereezdom_v_chehiyu_2260941796
Помощник компьютерного мастера;от 42 000 ;https://www.avito.ru/saratov/vakansii/pomoschnik_kompyuternogo_mastera_2206546272
Помощник компьютерного мастера;от 42 000 ;https://www.avito.ru/ulyanovsk/vakansii/pomoschnik_kompyuternogo_mastera_2206871741
Программист 1С;80 000 — 120 000 ;https://www.avito.ru/kirovskaya_oblast_kirov/vakansii/programmist_1s_2221311343
Контент-менеджер (руководитель проекта);от 70 000 ;https://www.avito.ru/ekaterinburg/vakansii/kontent-menedzher_rukovoditel_proekta_2248576658
Программист assembler, C, Reverse Engineer;100 000 — 200 000 ;https://www.avito.ru/moskva/vakansii/programmist_assembler_c_reverse_engineer_2247100759
Помощник компьютерного мастера;от 43 000 ;https://www.avito.ru/krasnodar/vakansii/pomoschnik_kompyuternogo_mastera_2206300684
Помощник компьютерного мастера;от 43 000 ;https://www.avito.ru/perm/vakansii/pomoschnik_kompyuternogo_mastera_2206469216
Фармацевт / Медицинский консультант;от 33 000 ;https://www.avito.ru/azov/vakansii/farmatsevt_meditsinskiy_konsultant_2262793698
Инженер-программист;от 40 000 ;https://www.avito.ru/saransk/vakansii/inzhener-programmist_2248448450
Фармацевт;38 000 — 48 000 ;https://www.avito.ru/krymsk/vakansii/farmatsevt_2230165265
SEO-специалист;Зарплата не указана;https://www.avito.ru/novokuznetsk/vakansii/seo-spetsialist_2272812149
Помощник компьютерного мастера;от 52 000 ;https://www.avito.ru/krasnoyarsk/vakansii/pomoschnik_kompyuternogo_mastera_2205973339
Фармацевт / Медицинский консультант;от 28 000 ;https://www.avito.ru/hodz/vakansii/farmatsevt_meditsinskiy_konsultant_2261906990
Помощник компьютерного мастера;от 43 000 ;https://www.avito.ru/kirovskaya_oblast_kirov/vakansii/pomoschnik_kompyuternogo_mastera_2206433349
Помощник компьютерного мастера;от 63 000 ;https://www.avito.ru/tver/vakansii/pomoschnik_kompyuternogo_mastera_2238811117
Помощник компьютерного мастера;от 42 000 ;https://www.avito.ru/chelyabinsk/vakansii/pomoschnik_kompyuternogo_mastera_2206148009
Фармацевт / Провизор;от 28 000 ;https://www.avito.ru/kaspiysk/vakansii/farmatsevt_provizor_2262858511
Помощник компьютерного мастера;от 42 000 ;https://www.avito.ru/novosibirsk/vakansii/pomoschnik_kompyuternogo_mastera_2206796823
Помощник компьютерного мастера;от 49 000 ;https://www.avito.ru/irkutsk/vakansii/pomoschnik_kompyuternogo_mastera_2206826117
Инженер асу пао Красноярскэнергосбыт;40 000 — 45 000 ;https://www.avito.ru/minusinsk/vakansii/inzhener_asu_pao_krasnoyarskenergosbyt_2256104594
Помощник компьютерного мастера;от 42 000 ;https://www.avito.ru/podolsk/vakansii/pomoschnik_kompyuternogo_mastera_2206135528
Фармацевт / Медицинский консультант;от 28 000 ;https://www.avito.ru/rostovskaya_oblast_pokrovskoe/vakansii/farmatsevt_meditsinskiy_konsultant_2262773644
Фармацевт;35 000 — 45 000 ;https://www.avito.ru/dzhubga_kp/vakansii/farmatsevt_2262234083
Помощник компьютерного мастера;от 26 000 ;https://www.avito.ru/tolyatti/vakansii/pomoschnik_kompyuternogo_mastera_2206569802
Фармацевт / Медицинский консультант;от 28 000 ;https://www.avito.ru/staronizhesteblievskaya/vakansii/farmatsevt_meditsinskiy_konsultant_2262509521
Помощник компьютерного мастера;от 42 000 ;https://www.avito.ru/lipetsk/vakansii/pomoschnik_kompyuternogo_mastera_2206198028
Фармацевт/Провизор (Медицинский консультант);от 38 000 ;https://www.avito.ru/salavat/vakansii/farmatsevtprovizor_meditsinskiy_konsultant_2262481910
Фармацевт / Медицинский консультант;от 33 000 ;https://www.avito.ru/krasnodar/vakansii/farmatsevt_meditsinskiy_konsultant_2262111026
Помощник компьютерного мастера;от 42 000 ;https://www.avito.ru/kazan/vakansii/pomoschnik_kompyuternogo_mastera_2206811612
Помощник компьютерного мастера;от 43 000 ;https://www.avito.ru/sevastopol/vakansii/pomoschnik_kompyuternogo_mastera_2206649489
Специалист по ремонту компьютерной теники;от 42 000 ;https://www.avito.ru/ryazan/vakansii/spetsialist_po_remontu_kompyuternoy_teniki_2206135089
Помощник компьютерного мастера;от 25 000 ;https://www.avito.ru/cheboksary/vakansii/pomoschnik_kompyuternogo_mastera_2206281627
Помощник компьютерного мастера;от 42 000 ;https://www.avito.ru/ufa/vakansii/pomoschnik_kompyuternogo_mastera_2206380003
Фармацевт / Провизор;от 40 000 ;https://www.avito.ru/pyatigorsk/vakansii/farmatsevt_provizor_2262762965
Помощник компьютерного мастера;от 42 000 ;https://www.avito.ru/nizhniy_tagil/vakansii/pomoschnik_kompyuternogo_mastera_2205967354
Помощник компьютерного мастера;от 41 000 ;https://www.avito.ru/omsk/vakansii/pomoschnik_kompyuternogo_mastera_2206629898
Фармацевт;36 000 — 48 000 ;https://www.avito.ru/krasnoperekopsk/vakansii/farmatsevt_2262063781
Фармацевт / Провизор;от 28 000 ;https://www.avito.ru/mozdok/vakansii/farmatsevt_provizor_2262717179
Помощник компьютерного мастера;от 60 000 ;https://www.avito.ru/nizhniy_novgorod/vakansii/pomoschnik_kompyuternogo_mastera_2206851164
SEO специалист;40 000 — 70 000 ;https://www.avito.ru/rostov-na-donu/vakansii/seo_spetsialist_2268301845
Фармацевт / Медицинский консультант;от 33 000 ;https://www.avito.ru/bataysk/vakansii/farmatsevt_meditsinskiy_konsultant_2262393710
Помощник компьютерного мастера;от 43 000 ;https://www.avito.ru/arhangelsk/vakansii/pomoschnik_kompyuternogo_mastera_2206881822
Фармацевт / Медицинский консультант;от 28 000 ;https://www.avito.ru/starovelichkovskaya/vakansii/farmatsevt_meditsinskiy_konsultant_2262666462
Компьютерный мастер;от 67 000 ;https://www.avito.ru/sochi/vakansii/kompyuternyy_master_2206829110
Помощник компьютерного мастера;от 40 000 ;https://www.avito.ru/surgut/vakansii/pomoschnik_kompyuternogo_mastera_2205896041
Фармацевт;Зарплата не указана;https://www.avito.ru/leninsk/vakansii/farmatsevt_2262664509
Специалист по ремонту компьютерной техники;от 42 000 ;https://www.avito.ru/tambov/vakansii/spetsialist_po_remontu_kompyuternoy_tehniki_2206645270
Фармацевт / Медицинский консультант;от 33 000 ;https://www.avito.ru/krasnokumskoe/vakansii/farmatsevt_meditsinskiy_konsultant_2262337604
Фармацевт / Медицинский консультант;от 28 000 ;https://www.avito.ru/novodzherelievskaya/vakansii/farmatsevt_meditsinskiy_konsultant_2262864214
Компьютерный мастер;от 66 000 ;https://www.avito.ru/smolensk/vakansii/kompyuternyy_master_2206509124
Фармацевт / Медицинский консультант;от 40 000 ;https://www.avito.ru/kamensk-shahtinskiy/vakansii/farmatsevt_meditsinskiy_konsultant_2262460354
Фармацевт / Медицинский консультант;от 28 000 ;https://www.avito.ru/novodzherelievskaya/vakansii/farmatsevt_meditsinskiy_konsultant_2262864214
Фармацевт / Медицинский консультант;от 40 000 ;https://www.avito.ru/kochubeevskoe/vakansii/farmatsevt_meditsinskiy_konsultant_2262465284
Фармацевт;38 000 — 48 000 ;https://www.avito.ru/yalta/vakansii/farmatsevt_2230748583
Фармацевт / Медицинский консультант;от 28 000 ;https://www.avito.ru/teberda/vakansii/farmatsevt_meditsinskiy_konsultant_2262132573
Помощник компьютерного мастера;от 42 000 ;https://www.avito.ru/saratov/vakansii/pomoschnik_kompyuternogo_mastera_2206546272
Программист 1С;80 000 — 120 000 ;https://www.avito.ru/kirovskaya_oblast_kirov/vakansii/programmist_1s_2221311343
Программист assembler, C, Reverse Engineer;100 000 — 200 000 ;https://www.avito.ru/moskva/vakansii/programmist_assembler_c_reverse_engineer_2247100759
Контент-менеджер (руководитель проекта);от 70 000 ;https://www.avito.ru/ekaterinburg/vakansii/kontent-menedzher_rukovoditel_proekta_2248576658
Фармацевт / Медицинский консультант;от 33 000 ;https://www.avito.ru/tsimlyansk/vakansii/farmatsevt_meditsinskiy_konsultant_2261935285
Фармацевт / Медицинский консультант;от 28 000 ;https://www.avito.ru/petrovskaya/vakansii/farmatsevt_meditsinskiy_konsultant_2261948032
Помощник компьютерного мастера;от 43 000 ;https://www.avito.ru/kirovskaya_oblast_kirov/vakansii/pomoschnik_kompyuternogo_mastera_2206433349
Инженер-программист;от 40 000 ;https://www.avito.ru/saransk/vakansii/inzhener-programmist_2248448450
Специалист по ремонту компьютерной теники;от 42 000 ;https://www.avito.ru/ryazan/vakansii/spetsialist_po_remontu_kompyuternoy_teniki_2206135089
Помощник компьютерного мастера;от 41 000 ;https://www.avito.ru/kemerovo/vakansii/pomoschnik_kompyuternogo_mastera_2206258288
Компьютерный мастер;от 67 000 ;https://www.avito.ru/sochi/vakansii/kompyuternyy_master_2206829110
Заведующий аптекой;Зарплата не указана;https://www.avito.ru/berezanskaya/vakansii/zaveduyuschiy_aptekoy_2261964000
Помощник компьютерного мастера;от 43 000 ;https://www.avito.ru/arhangelsk/vakansii/pomoschnik_kompyuternogo_mastera_2206881822
Помощник компьютерного мастера;от 42 000 ;https://www.avito.ru/lipetsk/vakansii/pomoschnik_kompyuternogo_mastera_2206198028
Фармацевт / Медицинский консультант;от 28 000 ;https://www.avito.ru/pavlodolskaya/vakansii/farmatsevt_meditsinskiy_konsultant_2262085031
Фармацевт / Медицинский консультант;от 33 000 ;https://www.avito.ru/chertkovo/vakansii/farmatsevt_meditsinskiy_konsultant_2262576118
Наладчик чпу;86 000 ;https://www.avito.ru/lipetsk/vakansii/naladchik_chpu_2203187621
Фармацевт / Медицинский консультант;от 28 000 ;https://www.avito.ru/trudobelikovskiy/vakansii/farmatsevt_meditsinskiy_konsultant_2261975703
Фармацевт;38 000 — 53 000 ;https://www.avito.ru/sochi/vakansii/farmatsevt_2230491130
Фармацевт;38 000 — 50 000 ;https://www.avito.ru/tavricheskoe/vakansii/farmatsevt_2229955055
Фармацевт;35 000 — 45 000 ;https://www.avito.ru/dzhubga_kp/vakansii/farmatsevt_2262234083
Фармацевт / Медицинский консультант;от 28 000 ;https://www.avito.ru/karachaevsk/vakansii/farmatsevt_meditsinskiy_konsultant_2262158265
Помощник компьютерного мастера;от 52 000 ;https://www.avito.ru/krasnoyarsk/vakansii/pomoschnik_kompyuternogo_mastera_2205973339
Помощник компьютерного мастера;от 60 000 ;https://www.avito.ru/nizhniy_novgorod/vakansii/pomoschnik_kompyuternogo_mastera_2206851164
Помощник компьютерного мастера;от 47 000 ;https://www.avito.ru/moskovskaya_oblast_krasnogorsk/vakansii/pomoschnik_kompyuternogo_mastera_2206159198
Фармацевт / Медицинский консультант;от 28 000 ;https://www.avito.ru/novotitarovskaya/vakansii/farmatsevt_meditsinskiy_konsultant_2262716005
Фармацевт;33 000 — 43 000 ;https://www.avito.ru/gostagaevskaya/vakansii/farmatsevt_2262856438
SEO-специалист;Зарплата не указана;https://www.avito.ru/novokuznetsk/vakansii/seo-spetsialist_2272812149
Преподаватель в онлайн-школу;от 24 000 ;https://www.avito.ru/lebedyan/vakansii/prepodavatel_v_onlayn-shkolu_2258961293
